หมายเลขบ่อน้ำบาดาล,ปีงบประมาณ,โครงการ,สถานะที่เจาะ,หมู่ที่,ชื่อหมู่บ้าน,ชื่อตำบล,ชื่ออำเภอ,ชื่อจังหวัด,ประเภทบ่อน้ำบาดาล,สถานะบ่อน้ำบาดาล,สภาพน้ำบาดาล,เครื่องสูบ,วันที่เริ่มเจาะ,วันที่สิ้นสุดการเจาะ,Depth,D.Depth,Q,DD,SWL,ขนาดบ่อน้ำ,แรงม้า,ลงท่อดูด,วันที่ติดตั้งระบบปะปา,UTM_DATUM,ZoneNumber,ZoneDesignators,พิกัดออกตก,พิกัดเหนือใต้,LATITUDE,LONGITUDE,สถานะข้อมูล
5209A002,2553,โครงการสำรวจและพัฒนาแหล่งน้ำบาดาลเพื่อสนับสนุนน้ำดื่มสะอาดให้กับโรงเรียนทั่วประเทศไทยเข้มแข็ง339,โรงเรียนนิคมสร้างตัวเองจังหวัดระยอง1,02,นิคม 1,นิคมพัฒนา,นิคมพัฒนา,ระยอง,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,ไม่ได้ติดตั้ง,22/11/2552 0:00:00,27/11/2552 0:00:00,65.00,65.00,3.00,0.00,6.00,,0.00,0.00,,WGS84,47,P,739436,1419105,12.82769492,101.20596968,อนุมัติ
5209A003,2553,โครงการสำรวจและพัฒนาแหล่งน้ำบาดาลเพื่อสนับสนุนน้ำดื่มสะอาดให้กับโรงเรียนทั่วประเทศไทยเข้มแข็ง339,โรงเรียนวังจันทร์วิทยา,1,ชุมแสง,ชุมแสง,วังจันทร์,ระยอง,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,ไม่ได้ติดตั้ง,28/11/2552 0:00:00,3/12/2552 0:00:00,86.00,86.00,5.00,0.00,3.00,,0.00,0.00,,WGS84,47,P,774040,1431359,12.93553024,101.52568821,อนุมัติ
5209A004,2553,โครงการสำรวจและพัฒนาแหล่งน้ำบาดาลเพื่อสนับสนุนน้ำดื่มสะอาดให้กับโรงเรียนทั่วประเทศไทยเข้มแข็ง339,โรงเรียนบ้านฉางกาญจนกุลวิทยา,1,เนินกระปรอกล่าง,บ้านฉาง,บ้านฉาง,ระยอง,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,ไม่ได้ติดตั้ง,4/12/2552 0:00:00,9/12/2552 0:00:00,120.00,120.00,4.00,0.00,7.00,,0.00,0.00,,WGS84,47,P,722767,1408723,12.73511588,101.05170911,อนุมัติ
5209A005,2553,โครงการสำรวจและพัฒนาแหล่งน้ำบาดาลเพื่อสนับสนุนน้ำดื่มสะอาดให้กับโรงเรียนทั่วประเทศไทยเข้มแข็ง339,โรงเรียนห้วยยางศึกษา,8,ชากพรวด,ห้วยยาง,แกลง,ระยอง,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,ไม่ได้ติดตั้ง,10/12/2552 0:00:00,15/12/2552 0:00:00,98.00,98.00,6.00,0.00,8.00,,0.00,0.00,,WGS84,47,P,781187,1411981,12.75983278,101.58971679,อนุมัติ
5409A001,2554,โครงการพัฒนาแหล่งน้ำบาดาลเพื่อสนับสนุนน้ำดื่มสะอาดให้กับโรงเรียนทั่วประเทศ ปี 2554 (372แห่ง),โรงเรียนวัดบ้านฉาง,05,ฉาง,บ้านฉาง,บ้านฉาง,ระยอง,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,ไม่ได้ติดตั้ง,21/11/2553 0:00:00,25/11/2553 0:00:00,116.00,116.00,7.00,30.00,5.80,150,0.00,0.00,,WGS84,47,P,722500,1406951,12.71912121,101.04912253,อนุมัติ
5409A002,2554,โครงการพัฒนาแหล่งน้ำบาดาลเพื่อสนับสนุนน้ำดื่มสะอาดให้กับโรงเรียนทั่วประเทศ ปี 2554 (372แห่ง),โรงเรียนวัดชากหมาก,2,ชากหมาก,สำนักท้อน,บ้านฉาง,ระยอง,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,ไม่ได้ติดตั้ง,15/11/2553 0:00:00,20/11/2553 0:00:00,122.00,122.00,3.00,40.00,6.60,150,0.00,0.00,,WGS84,47,P,720220,1415437,12.79597223,101.02874515,อนุมัติ
5409A003,2554,โครงการพัฒนาแหล่งน้ำบาดาลเพื่อสนับสนุนน้ำดื่มสะอาดให้กับโรงเรียนทั่วประเทศ ปี 2554 (372แห่ง),โรงเรียนบ้านชากลูกหญ้า,05,ชากลูกหญ้า,ห้วยโป่ง,เมืองระยอง,ระยอง,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,ไม่ได้ติดตั้ง,26/11/2553 0:00:00,30/11/2553 0:00:00,92.00,92.00,4.00,36.00,3.10,150,0.00,0.00,,WGS84,47,P,720179,1409836,,,อนุมัติ
5409A004,2554,โครงการพัฒนาแหล่งน้ำบาดาลเพื่อสนับสนุนน้ำดื่มสะอาดให้กับโรงเรียนทั่วประเทศ ปี 2554 (372แห่ง),โรงเรียนระยองวิทยาคม,,,ห้วยโป่ง,เมืองระยอง,ระยอง,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,ไม่ได้ติดตั้ง,1/12/2553 0:00:00,5/12/2553 0:00:00,92.00,92.00,4.00,39.00,2.60,150,0.00,0.00,,WGS84,47,P,729589,1408303,12.73082615,101.11447939,อนุมัติ
5409A010,2554,โครงการจัดหาน้ำสะอาดให้กับหมู่บ้านหาน้ำยากทั่วประเทศ ปีงบประมาณ พ.ศ.2554 (922 แห่ง),สำนักสงฆ์น้ำตกธรรมรส,1,ขุนอินทร์,ป่ายุบใน,วังจันทร์,ระยอง,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),31/1/2554 0:00:00,4/2/2554 0:00:00,122.00,122.00,2.30,60.00,7.40,150,1.00,75.00,,WGS84,47,P,731132,1470011,13.01106647,101.48867367,อนุมัติ
5409A011,2554,โครงการจัดหาน้ำสะอาดให้กับหมู่บ้านหาน้ำยากทั่วประเทศ ปีงบประมาณ พ.ศ.2554 (922 แห่ง),บ้านวังโพรง,7,วังโพรง,ชุมแสง,วังจันทร์,ระยอง,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),5/2/2554 0:00:00,9/2/2554 0:00:00,92.00,92.00,4.00,36.00,7.90,150,1.50,51.00,,WGS84,47,P,769697,1426072,12.88815068,101.48521542,อนุมัติ
5409A013,2554,โครงการจัดหาน้ำสะอาดให้กับหมู่บ้านหาน้ำยากทั่วประเทศ ปีงบประมาณ พ.ศ.2554 (922 แห่ง),บ้านหนองไทย,05,หนองไทร,ทุ่งควายกิน,แกลง,ระยอง,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),14/2/2554 0:00:00,17/2/2554 0:00:00,74.00,74.00,7.00,31.00,5.80,150,1.50,45.00,,WGS84,47,P,794005,1416456,12.79907115,101.70811003,อนุมัติ
5409A014,2554,โครงการจัดหาน้ำสะอาดให้กับหมู่บ้านหาน้ำยากทั่วประเทศ ปีงบประมาณ พ.ศ.2554 (922 แห่ง),วัดวังศิลาธรรมาราม,13,วังศิลา,วังหว้า,แกลง,ระยอง,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),18/2/2554 0:00:00,21/2/2554 0:00:00,72.00,72.00,6.00,,6.80,150,1.50,45.00,,WGS84,47,P,784241,1411185,12.75236511,101.61774947,อนุมัติ
5409A015,2554,โครงการจัดหาน้ำสะอาดให้กับหมู่บ้านหาน้ำยากทั่วประเทศ ปีงบประมาณ พ.ศ.2554 (922 แห่ง),โรงเรียนบ้านเนินไม้หอม,10,เนินไม้หอม,กระแสบน,แกลง,ระยอง,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),22/2/2554 0:00:00,25/2/2554 0:00:00,72.00,72.00,5.00,32.00,4.10,150,1.50,45.00,,WGS84,47,P,786423,1424930,12.87632676,101.63912309,อนุมัติ
5409A017,2554,โครงการจัดหาน้ำสะอาดให้กับหมู่บ้านหาน้ำยากทั่วประเทศ ปีงบประมาณ พ.ศ.2554 (922 แห่ง),วิทยาลัยการอาชีพแกลง,8,น้ำโจน,กระแสบน,แกลง,ระยอง,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),8/3/2554 0:00:00,12/3/2554 0:00:00,122.00,122.00,3.00,42.00,11.50,150,1.00,54.00,,WGS84,47,P,784221,1420914,12.84025251,101.61847234,อนุมัติ
5409A020,2554,โครงการจัดหาน้ำสะอาดให้กับหมู่บ้านหาน้ำยากทั่วประเทศ ปีงบประมาณ พ.ศ.2554 (922 แห่ง),วัดสวนหลาว,1,คลองน้ำเย็น,หนองละลอก,บ้านค่าย,ระยอง,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),21/3/2554 0:00:00,24/3/2554 0:00:00,68.00,68.00,8.90,31.00,3.60,150,2.00,45.00,,WGS84,47,P,744326,1420135,12.83662006,101.25108077,อนุมัติ
5409A021,2554,โครงการจัดหาน้ำสะอาดให้กับหมู่บ้านหาน้ำยากทั่วประเทศ ปีงบประมาณ พ.ศ.2554 (922 แห่ง),ศูนย์แสดงจำหน่ายสินค้า OTOP,5,ชากเจ้าเดียว,มะขามคู่,นิคมพัฒนา,ระยอง,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),25/3/2554 0:00:00,28/3/2554 0:00:00,82.00,82.00,3.00,51.00,5.90,150,1.00,60.00,,WGS84,47,P,731528,1413430,,,อนุมัติ
5409A022,2554,โครงการจัดหาน้ำสะอาดให้กับหมู่บ้านหาน้ำยากทั่วประเทศ ปีงบประมาณ พ.ศ.2554 (922 แห่ง),วัดป่าเทพรังสี,07,ชากคา,ชากพง,แกลง,ระยอง,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),29/3/2554 0:00:00,1/4/2554 0:00:00,74.00,74.00,5.00,49.00,6.60,150,1.50,57.00,,WGS84,47,P,775969,1405163,12.69870582,101.54107922,อนุมัติ
5409A039,2555,โครงการสำรวจและศึกษาการพัฒนาและระบบปรับปรุงคุณภาพน้ำให้กับโรงเรียนเพื่อเฉลิมพระเกียรติฯ84พรรษา,โรงเรียนมกุฏเมืองราชวิทยาลัย,1,แหลมไผ่,บ้านนา,แกลง,ระยอง,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,,20/10/2554 0:00:00,25/10/2554 0:00:00,125.00,116.00,2.00,,3.90,,,,,WGS84,47,P,788352,1416703,12.80183226,101.65610278,อนุมัติ
5409F014,2554,โครงการจัดหาน้ำสะอาดให้กับหมู่บ้านหาน้ำยากทั่วประเทศ ปีงบประมาณ พ.ศ.2554 (922 แห่ง),วัดมาบลูกจันทร์,02,มาบลูกจันทร์,ปลวกแดง,ปลวกแดง,ระยอง,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),9/3/2554 0:00:00,14/3/2554 0:00:00,130.00,130.00,9.00,45.00,15.20,150,1.50,45.00,,WGS84,47,P,748158,1433618,12.95814151,101.28747396,อนุมัติ
5409F015,2554,โครงการจัดหาน้ำสะอาดให้กับหมู่บ้านหาน้ำยากทั่วประเทศ ปีงบประมาณ พ.ศ.2554 (922 แห่ง),บ้านตีนเนิน,5,ตีนเนิน,หนองละลอก,บ้านค่าย,ระยอง,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),15/3/2554 0:00:00,20/3/2554 0:00:00,96.00,96.00,8.00,41.50,5.00,150,1.50,45.00,,WGS84,47,P,746199,1411800,12.76115889,101.26765476,อนุมัติ
5409F016,2554,โครงการจัดหาน้ำสะอาดให้กับหมู่บ้านหาน้ำยากทั่วประเทศ ปีงบประมาณ พ.ศ.2554 (922 แห่ง),โรงเรียนวัดยายดา,3,ยายดา,ตะพง,เมืองระยอง,ระยอง,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),21/3/2554 0:00:00,26/3/2554 0:00:00,92.00,92.00,4.00,42.00,6.50,150,1.00,45.00,,WGS84,47,P,757565,1402679,12.67783061,101.37151583,อนุมัติ
5409F017,2554,โครงการจัดหาน้ำสะอาดให้กับหมู่บ้านหาน้ำยากทั่วประเทศ ปีงบประมาณ พ.ศ.2554 (922 แห่ง),บ้านหนองตารส,12,หนองตารส,ตะพง,เมืองระยอง,ระยอง,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),27/3/2554 0:00:00,1/4/2554 0:00:00,122.00,122.00,3.00,54.00,5.20,150,1.00,60.00,,WGS84,47,P,756353,1399647,12.65053509,101.36011097,อนุมัติ
5409F018,2554,โครงการจัดหาน้ำสะอาดให้กับหมู่บ้านหาน้ำยากทั่วประเทศ ปีงบประมาณ พ.ศ.2554 (922 แห่ง),วัดตะเคียนทอง,06,เนินพยอม,แกลง,เมืองระยอง,ระยอง,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),2/4/2554 0:00:00,7/4/2554 0:00:00,75.00,75.00,4.00,48.00,3.00,150,1.00,54.00,,WGS84,47,P,770523,1398845,12.64210205,101.49041232,อนุมัติ
5443A060,2554,ปี 2554 - ไม่ระบุโครงการที่ดำเนินงาน,วัดชากผักกูด,6,คลองตาทัย,นิคมพัฒนา,นิคมพัฒนา,ระยอง,สังเกตการณ์,ใช้การได้,,,29/8/2554 0:00:00,2/9/2554 0:00:00,62.00,50.00,2.00,,2.87,150,,,,WGS84,47,P,734139,1420843,12.84380498,101.15732596,อนุมัติ
5443A061,2554,ปี 2554 - ไม่ระบุโครงการที่ดำเนินงาน,วัดประสิทธาราม,7,วังปลา,พนานิคม,นิคมพัฒนา,ระยอง,สังเกตการณ์,ใช้การได้,,,17/7/2554 0:00:00,17/7/2554 0:00:00,8.00,8.00,0.50,,6.91,150,,,,WGS84,47,P,731808,1430369,12.93006193,101.13658896,อนุมัติ
5443A064,2555,ปี 2555 - ไม่ระบุโครงการที่ดำเนินงาน,วัดกระเฉดลาท,1,กระเฉท,มาบข่า,นิคมพัฒนา,ระยอง,สังเกตการณ์,ใช้การได้,,,1/12/2554 0:00:00,2/12/2554 0:00:00,62.00,22.00,2.00,,2.50,150,,,,WGS84,47,P,741422,1411398,12.7579003,101.22364724,อนุมัติ
5443A065,2554,ปี 2554 - ไม่ระบุโครงการที่ดำเนินงาน,วัดบึงต้นชัน,4,บึงต้นชัน,ชากบก,บ้านค่าย,ระยอง,สังเกตการณ์,ใช้การได้,,,23/7/2554 0:00:00,24/7/2554 0:00:00,43.00,37.00,0.50,,8.86,150,,,,WGS84,47,P,757957,1412914,12.77027252,101.3759837,อนุมัติ
5443A066,2555,ปี 2555 - ไม่ระบุโครงการที่ดำเนินงาน,โรงเรียนชุมชนวัดหนองคอกหมู,3,หนองคอกหมู,ตาขัน,บ้านค่าย,ระยอง,สังเกตการณ์,ใช้การได้,,,1/11/2554 0:00:00,2/11/2554 0:00:00,24.00,24.00,10.00,,1.37,150,,,,WGS84,47,P,750981,1411238,12.75569934,101.31162903,อนุมัติ
5443A067,2555,ปี 2555 - ไม่ระบุโครงการที่ดำเนินงาน,โรงเรียนชุมชนวัดหนองคอกหมู,3,หนองคอกหมู,ตาขัน,บ้านค่าย,ระยอง,สังเกตการณ์,ใช้การได้,,,22/10/2554 0:00:00,30/10/2554 0:00:00,100.00,98.00,1.00,,2.04,150,,,,WGS84,47,P,750981,1411238,12.75569934,101.31162903,อนุมัติ
5443A068,2555,ปี 2555 - ไม่ระบุโครงการที่ดำเนินงาน,วัดปทุมาวาส,6,หัวชวด,หนองบัว,บ้านค่าย,ระยอง,สังเกตการณ์,ใช้การได้,,,20/10/2554 0:00:00,24/10/2554 0:00:00,85.00,84.00,1.00,,3.46,150,,,,WGS84,47,P,751170,1420895,12.84293934,101.31416464,อนุมัติ
5443A069,2555,ปี 2555 - ไม่ระบุโครงการที่ดำเนินงาน,วัดปทุมาวาส,6,หัวชวด,หนองบัว,บ้านค่าย,ระยอง,สังเกตการณ์,ใช้การได้,,,25/10/2554 0:00:00,25/10/2554 0:00:00,17.00,16.00,4.00,,1.82,150,,,,WGS84,47,P,751170,1420895,12.84293934,101.31416464,อนุมัติ
5443A070,2554,ปี 2554 - ไม่ระบุโครงการที่ดำเนินงาน,โรงเรียนบ้านหินโค้งประชานุเคราะห์,11,สามเนิน,หนองบัว,บ้านค่าย,ระยอง,สังเกตการณ์,ใช้การได้,,,8/9/2554 0:00:00,10/9/2554 0:00:00,62.00,12.00,1.00,,0.33,150,,,,WGS84,47,P,754943,1424284,12.87325101,101.34919181,อนุมัติ
5443A071,2555,ปี 2555 - ไม่ระบุโครงการที่ดำเนินงาน,วัดหนองกรับ,3,หนองกรับ,หนองบัว,บ้านค่าย,ระยอง,สังเกตการณ์,ใช้การได้,,,7/11/2554 0:00:00,8/11/2554 0:00:00,18.00,18.00,1.00,,4.54,150,,,,WGS84,47,P,751189,1425453,12.8841211,101.3147173,อนุมัติ
5443A072,2555,ปี 2555 - ไม่ระบุโครงการที่ดำเนินงาน,วัดหนองกรับ,3,หนองกรับ,หนองบัว,บ้านค่าย,ระยอง,สังเกตการณ์,ใช้การได้,,,4/11/2554 0:00:00,7/11/2554 0:00:00,84.00,84.00,5.00,,9.53,150,,,,WGS84,47,P,751189,1425453,12.8841211,101.3147173,อนุมัติ
5443A073,2552,โครงการวางเครือข่ายสังเกตการณ์น้ำบาดาลเพื่อติดตามสถานการณ์น้ำบาดาล,โรงพยาบาลส่งเสริมสุขภาพตำบลคลองขนุน,8,คลองขนุน,หนองบัว,บ้านค่าย,ระยอง,สังเกตการณ์,ใช้การได้,,,27/7/2554 0:00:00,30/7/2554 0:00:00,24.00,14.00,1.00,,1.70,150,,,,WGS84,47,P,757561,1427346,12.90069884,101.37356176,อนุมัติ
5443A074,2552,โครงการวางเครือข่ายสังเกตการณ์น้ำบาดาลเพื่อติดตามสถานการณ์น้ำบาดาล,วัดป่าหวาย,5,มาบป่าหวาย,หนองบัว,บ้านค่าย,ระยอง,สังเกตการณ์,ใช้การได้,,,3/9/2554 0:00:00,7/9/2554 0:00:00,62.00,54.00,4.00,,19.82,150,,,,WGS84,47,P,753736,1429575,12.92115576,101.3385205,อนุมัติ
5443A075,2552,โครงการวางเครือข่ายสังเกตการณ์น้ำบาดาลเพื่อติดตามสถานการณ์น้ำบาดาล,วัดเชิงเนินสุทธาวาส,5,ตีนเนิน,หนองละลอก,บ้านค่าย,ระยอง,สังเกตการณ์,ใช้การได้,,,21/9/2554 0:00:00,21/9/2554 0:00:00,18.00,18.00,1.50,,5.54,150,,,,WGS84,47,P,746649,1412469,12.76716819,101.27185125,อนุมัติ
5443A076,2552,โครงการวางเครือข่ายสังเกตการณ์น้ำบาดาลเพื่อติดตามสถานการณ์น้ำบาดาล,วัดเชิงเนินสุทธาวาส,5,ตีนเนิน,หนองละลอก,บ้านค่าย,ระยอง,สังเกตการณ์,ใช้การได้,,,15/9/2554 0:00:00,20/9/2554 0:00:00,102.00,102.00,3.00,,31.50,150,,,,WGS84,47,P,746649,1412469,12.76716819,101.27185125,อนุมัติ
5443A077,2552,โครงการวางเครือข่ายสังเกตการณ์น้ำบาดาลเพื่อติดตามสถานการณ์น้ำบาดาล,โรงเรียนวัดดอนจันทน์,10,มาบตอง,หนองละลอก,บ้านค่าย,ระยอง,สังเกตการณ์,ใช้การได้,,,19/10/2554 0:00:00,19/10/2554 0:00:00,20.00,20.00,1.00,,9.19,150,,,,WGS84,47,P,748280,1418356,12.82023121,101.28734513,อนุมัติ
5443A078,2552,โครงการวางเครือข่ายสังเกตการณ์น้ำบาดาลเพื่อติดตามสถานการณ์น้ำบาดาล,โรงเรียนวัดดอนจันทน์,10,มาบตอง,หนองละลอก,บ้านค่าย,ระยอง,สังเกตการณ์,ใช้การได้,,,14/10/2554 0:00:00,19/10/2554 0:00:00,103.00,32.00,3.50,,11.81,150,,,,WGS84,47,P,748280,1418356,12.82023121,101.28734513,อนุมัติ
5443A079,2552,โครงการวางเครือข่ายสังเกตการณ์น้ำบาดาลเพื่อติดตามสถานการณ์น้ำบาดาล,วัดเขาโพธิ์,10,มาบตอง,หนองละลอก,บ้านค่าย,ระยอง,สังเกตการณ์,ใช้การได้,,,12/9/2554 0:00:00,14/9/2554 0:00:00,62.00,46.00,2.00,,3.02,150,,,,WGS84,47,P,740358,1418830,12.82513862,101.21443805,อนุมัติ
5443A080,2552,โครงการวางเครือข่ายสังเกตการณ์น้ำบาดาลเพื่อติดตามสถานการณ์น้ำบาดาล,วัดเขาโพธิ์,10,มาบตอง,หนองละลอก,บ้านค่าย,ระยอง,สังเกตการณ์,ใช้การได้,,,14/9/2554 0:00:00,14/9/2554 0:00:00,10.00,10.00,0.50,,3.05,150,,,,WGS84,47,P,740358,1418830,12.82513862,101.21443805,อนุมัติ
5443A081,2552,โครงการวางเครือข่ายสังเกตการณ์น้ำบาดาลเพื่อติดตามสถานการณ์น้ำบาดาล,ที่ทำการตำรวจชุมชน,,,หนองละลอก,บ้านค่าย,ระยอง,สังเกตการณ์,ใช้การได้,,,14/7/2554 0:00:00,16/7/2554 0:00:00,11.00,7.00,0.50,,5.64,150,,,,WGS84,47,P,742918,1422002,12.85360084,101.23826463,อนุมัติ
5443A082,2552,โครงการวางเครือข่ายสังเกตการณ์น้ำบาดาลเพื่อติดตามสถานการณ์น้ำบาดาล,วัดชลธีธาราม,,,บ้านฉาง,บ้านฉาง,ระยอง,สังเกตการณ์,ใช้การได้,,,22/9/2554 0:00:00,25/9/2554 0:00:00,62.00,60.00,0.50,,4.88,150,,,,WGS84,47,P,724350,1402469,12.67848508,101.06582527,อนุมัติ
5443A083,2552,โครงการวางเครือข่ายสังเกตการณ์น้ำบาดาลเพื่อติดตามสถานการณ์น้ำบาดาล,วัดชลธีธาราม,,,บ้านฉาง,บ้านฉาง,ระยอง,สังเกตการณ์,ใช้การได้,,,25/9/2554 0:00:00,25/9/2554 0:00:00,16.00,16.00,0.10,,14.40,150,,,,WGS84,47,P,724350,1402469,12.67848508,101.06582527,อนุมัติ
5443A084,2552,โครงการวางเครือข่ายสังเกตการณ์น้ำบาดาลเพื่อติดตามสถานการณ์น้ำบาดาล,โรงเรียนวัดสำนักท้อน,1,สำนักท้อน,สำนักท้อน,บ้านฉาง,ระยอง,สังเกตการณ์,ใช้การได้,,,29/6/2554 0:00:00,6/7/2554 0:00:00,43.00,36.00,1.00,,7.42,150,,,,WGS84,47,P,719651,1412817,12.77233507,101.02331702,อนุมัติ
5443A085,2552,โครงการวางเครือข่ายสังเกตการณ์น้ำบาดาลเพื่อติดตามสถานการณ์น้ำบาดาล,โรงเรียนวัดสำนักท้อน,1,สำนักท้อน,สำนักท้อน,บ้านฉาง,ระยอง,สังเกตการณ์,ใช้การได้,,,6/7/2554 0:00:00,6/7/2554 0:00:00,28.00,26.00,0.50,,6.66,150,,,,WGS84,47,P,719651,1412817,12.77233507,101.02331702,อนุมัติ
5443A086,2552,โครงการวางเครือข่ายสังเกตการณ์น้ำบาดาลเพื่อติดตามสถานการณ์น้ำบาดาล,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองน้ำเย็น,1,สำนักท้อน,สำนักท้อน,บ้านฉาง,ระยอง,สังเกตการณ์,ใช้การได้,,,13/7/2554 0:00:00,15/7/2554 0:00:00,62.00,29.00,1.00,,2.90,150,,,,WGS84,47,P,722804,1416244,12.80308082,101.05259819,อนุมัติ
5443A087,2552,โครงการวางเครือข่ายสังเกตการณ์น้ำบาดาลเพื่อติดตามสถานการณ์น้ำบาดาล,โรงเรียนปลวกแดงพิทยาคม,,,ปลวกแดง,ปลวกแดง,ระยอง,สังเกตการณ์,ใช้การได้,,,22/7/2554 0:00:00,23/7/2554 0:00:00,22.00,20.00,1.00,,5.34,150,,,,WGS84,47,P,740954,1435502,12.97573975,101.22125558,อนุมัติ
5443A088,2552,โครงการวางเครือข่ายสังเกตการณ์น้ำบาดาลเพื่อติดตามสถานการณ์น้ำบาดาล,โรงเรียนปลวกแดงพิทยาคม,,,ปลวกแดง,ปลวกแดง,ระยอง,สังเกตการณ์,ใช้การได้,,,2/7/2554 0:00:00,22/7/2554 0:00:00,50.00,46.00,3.00,,6.51,150,,,,WGS84,47,P,740954,1435502,12.97573975,101.22125558,อนุมัติ
5443A089,2552,โครงการวางเครือข่ายสังเกตการณ์น้ำบาดาลเพื่อติดตามสถานการณ์น้ำบาดาล,วัดสิทธิสามัคคี,5,แม่น้ำคู้ใหม่,แม่น้ำคู้,ปลวกแดง,ระยอง,สังเกตการณ์,ใช้การได้,,,24/7/2554 0:00:00,26/7/2554 0:00:00,36.00,33.00,0.25,,19.85,150,,,,WGS84,47,P,743826,1427310,12.90149143,101.24705397,อนุมัติ
5443A090,2552,โครงการวางเครือข่ายสังเกตการณ์น้ำบาดาลเพื่อติดตามสถานการณ์น้ำบาดาล,วัดสิทธิสามัคคี,5,แม่น้ำคู้ใหม่,แม่น้ำคู้,ปลวกแดง,ระยอง,สังเกตการณ์,ใช้การได้,,,26/7/2554 0:00:00,26/7/2554 0:00:00,8.00,8.00,0.50,,4.65,150,,,,WGS84,47,P,743826,1427310,12.90149143,101.24705397,อนุมัติ
5443A091,2552,โครงการวางเครือข่ายสังเกตการณ์น้ำบาดาลเพื่อติดตามสถานการณ์น้ำบาดาล,โรงเรียนวัดบ้านปากแพรก,1,ปากแพรก,ละหาร,ปลวกแดง,ระยอง,สังเกตการณ์,ใช้การได้,,,20/10/2554 0:00:00,23/10/2554 0:00:00,62.00,22.00,0.00,,4.90,150,,,,WGS84,47,P,751062,1432306,12.94605075,101.31411773,อนุมัติ
5443A092,2552,โครงการวางเครือข่ายสังเกตการณ์น้ำบาดาลเพื่อติดตามสถานการณ์น้ำบาดาล,โรงเรียนบ้านหมอมุ่ย,4,หมอมุ่ย,ละหาร,ปลวกแดง,ระยอง,สังเกตการณ์,ใช้การได้,,,1/11/2554 0:00:00,8/11/2554 0:00:00,62.00,15.00,0.50,,0.74,150,,,,WGS84,47,P,753897,1435973,12.97894945,101.34054326,อนุมัติ
5443A093,2552,โครงการวางเครือข่ายสังเกตการณ์น้ำบาดาลเพื่อติดตามสถานการณ์น้ำบาดาล,วัดคลองน้ำแดง,1,คลองน้ำแดง,หนองไร่,ปลวกแดง,ระยอง,สังเกตการณ์,ใช้การได้,,,24/7/2554 0:00:00,26/7/2554 0:00:00,31.00,30.00,2.00,,19.10,150,,,,WGS84,47,P,758375,1435300,12.9724943,101.38174078,อนุมัติ
5443A094,2552,โครงการวางเครือข่ายสังเกตการณ์น้ำบาดาลเพื่อติดตามสถานการณ์น้ำบาดาล,วัดคลองน้ำแดง,1,คลองน้ำแดง,หนองไร่,ปลวกแดง,ระยอง,สังเกตการณ์,ใช้การได้,,,26/7/2554 0:00:00,27/7/2554 0:00:00,18.00,18.00,0.50,,3.90,150,,,,WGS84,47,P,758375,1435300,12.9724943,101.38174078,อนุมัติ
